episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
124,6,train_0436,12772.357421875,10662.76171875,-257.723828125,257.723828125,12514.63359375,15.22,0.64,0.0,0.0
125,6,train_0299,12381.359375,10481.72265625,-275.82773437500003,275.82773437500003,12105.531640625,13.2,0.68,0.0,0.0
126,6,train_0182,12356.30078125,10610.666015625,-262.9333984375,262.9333984375,12093.3673828125,16.14,0.76,0.0,0.0
127,6,train_0056,11794.560546875,10024.26171875,-321.57382812500003,321.57382812500003,11472.98671875,17.6,0.64,0.0,0.0
128,7,train_0104,12224.7060546875,10403.78515625,-283.621484375,283.621484375,11941.0845703125,17.82,0.74,0.0,0.0
129,7,train_0542,11772.330078125,10685.5546875,-255.44453125,255.44453125,11516.885546875,14.78,0.68,0.0,0.0
130,7,train_0266,12264.4482421875,10713.052734375,-252.69472656250002,252.69472656250002,12011.753515625,16.46,0.4,0.0,0.0
131,7,train_0593,12142.01171875,10869.859375,-237.01406250000002,237.01406250000002,11904.99765625,14.08,0.62,0.0,0.0
132,7,train_0211,12083.822265625,10810.8671875,-242.91328125,242.91328125,11840.908984375,16.94,0.78,0.0,0.0
133,7,train_0035,12485.79296875,11241.0830078125,-199.89169921875,199.89169921875,12285.90126953125,16.92,0.66,0.0,0.0
134,7,train_0153,11877.6591796875,11014.673828125,-222.53261718750002,222.53261718750002,11655.1265625,17.94,0.6,0.0,0.0
135,7,train_0214,11918.341796875,10405.7578125,-283.42421875,283.42421875,11634.917578125,15.82,0.72,0.0,0.0
136,7,train_0420,12230.76953125,10683.630859375,-255.6369140625,255.6369140625,11975.1326171875,14.94,0.74,0.0,0.0
137,7,train_0438,11896.974609375,10527.703125,-271.2296875,271.2296875,11625.744921875,16.34,0.68,0.0,0.0
138,7,train_0442,12267.810546875,11218.4580078125,-202.15419921875002,202.15419921875002,12065.65634765625,13.7,0.62,0.0,0.0
139,7,train_0188,12112.3701171875,10871.0615234375,-236.89384765625002,236.89384765625002,11875.47626953125,14.58,0.62,0.0,0.0
140,7,train_0228,12120.05859375,10658.373046875,-258.16269531250003,258.16269531250003,11861.8958984375,14.52,0.52,0.0,0.0
141,7,train_0340,12061.607421875,10994.462890625,-224.5537109375,224.5537109375,11837.0537109375,17.6,0.7,0.0,0.0
142,7,train_0363,12301.78125,10722.8359375,-251.71640625,251.71640625,12050.06484375,16.16,0.66,0.0,0.0
143,7,train_0249,12254.537109375,10745.7099609375,-249.42900390625002,249.42900390625002,12005.10810546875,15.9,0.7,0.0,0.0
144,7,train_0114,12444.0810546875,10071.5224609375,-316.84775390625003,316.84775390625003,12127.23330078125,16.74,0.7,0.0,0.0
145,7,train_0464,12301.8955078125,10246.205078125,-299.37949218750003,299.37949218750003,12002.516015625,15.46,0.66,0.0,0.0
146,7,train_0312,11937.96484375,10573.267578125,-266.6732421875,266.6732421875,11671.2916015625,16.46,0.72,0.0,0.0
147,7,train_0575,12730.4775390625,11199.41015625,-204.05898437500002,204.05898437500002,12526.4185546875,17.36,0.52,0.0,0.0
148,7,train_0567,12747.462890625,11458.9619140625,-178.10380859375002,178.10380859375002,12569.35908203125,16.78,0.66,0.0,0.0
149,7,train_0533,12197.87890625,10901.4716796875,-233.85283203125002,233.85283203125002,11964.02607421875,15.02,0.76,0.0,0.0
150,7,train_0576,11889.140625,10788.3779296875,-245.16220703125,245.16220703125,11643.97841796875,15.66,0.62,0.0,0.0
151,7,train_0372,12473.888671875,10908.8359375,-233.11640625,233.11640625,12240.772265625,17.64,0.7,0.0,0.0
152,7,train_0178,12022.34765625,10665.455078125,-257.4544921875,257.4544921875,11764.8931640625,14.0,0.76,0.0,0.0
153,7,train_0096,12451.607421875,10576.35546875,-266.364453125,266.364453125,12185.24296875,16.94,0.58,0.0,0.0
154,7,train_0063,12256.4521484375,10983.2080078125,-225.67919921875,225.67919921875,12030.77294921875,15.02,0.68,0.0,0.0
155,7,train_0568,12625.083984375,11048.0576171875,-219.19423828125002,219.19423828125002,12405.88974609375,15.2,0.7,0.0,0.0
156,7,train_0162,11607.998046875,10171.21875,-306.878125,306.878125,11301.119921875,15.3,0.7,0.0,0.0
157,7,train_0014,12296.4453125,10795.1455078125,-244.48544921875,244.48544921875,12051.95986328125,17.52,0.66,0.0,0.0
158,7,train_0022,12234.48828125,10980.73828125,-225.92617187500002,225.92617187500002,12008.562109375,17.96,0.62,0.0,0.0
159,7,train_0178,11953.783203125,10734.623046875,-250.5376953125,250.5376953125,11703.2455078125,14.78,0.84,0.0,0.0
160,8,train_0587,11991.302734375,10532.7529296875,-270.72470703125003,270.72470703125003,11720.57802734375,16.6,0.72,0.0,0.0
161,8,train_0168,12418.833984375,10753.513671875,-248.6486328125,248.6486328125,12170.1853515625,18.46,0.74,0.0,0.0
162,8,train_0061,12161.0185546875,10545.36328125,-269.463671875,269.463671875,11891.5548828125,15.8,0.6,0.0,0.0
163,8,train_0403,12790.8359375,10908.23046875,-233.176953125,233.176953125,12557.658984375,13.32,0.7,0.0,0.0
164,8,train_0035,12563.03125,11367.8310546875,-187.21689453125,187.21689453125,12375.81435546875,17.26,0.86,0.0,0.0
165,8,train_0292,12325.65625,10529.9189453125,-271.00810546875,271.00810546875,12054.64814453125,19.18,0.68,0.0,0.0
166,8,train_0051,12193.04296875,10951.86328125,-228.813671875,228.813671875,11964.229296875,17.38,0.74,0.0,0.0
167,8,train_0055,12509.685546875,10609.146484375,-263.0853515625,263.0853515625,12246.6001953125,15.52,0.76,0.0,0.0
168,8,train_0216,11839.12890625,10569.33203125,-267.066796875,267.066796875,11572.062109375,17.74,0.62,0.0,0.0
169,8,train_0007,12842.869140625,11636.779296875,-160.32207031250002,160.32207031250002,12682.5470703125,15.5,0.68,0.0,0.0
170,8,train_0510,12494.916015625,10871.0419921875,-236.89580078125002,236.89580078125002,12258.02021484375,15.22,0.62,0.0,0.0
171,8,train_0362,12125.693359375,10877.720703125,-236.22792968750002,236.22792968750002,11889.4654296875,15.76,0.74,0.0,0.0
172,8,train_0560,12065.78125,10764.9453125,-247.50546875,247.50546875,11818.27578125,16.18,0.76,0.0,0.0
173,8,train_0294,12059.0830078125,10586.033203125,-265.3966796875,265.3966796875,11793.686328125,15.0,0.74,0.0,0.0
174,8,train_0333,12498.7568359375,10924.3466796875,-231.56533203125002,231.56533203125002,12267.19150390625,16.68,0.62,0.0,0.0
175,8,train_0360,12224.72265625,10231.3525390625,-300.86474609375,300.86474609375,11923.85791015625,15.62,0.78,0.0,0.0
176,9,train_0279,12020.744140625,10864.810546875,-237.51894531250002,237.51894531250002,11783.2251953125,15.64,0.66,0.0,0.0
177,9,train_0338,12289.5126953125,10819.158203125,-242.0841796875,242.0841796875,12047.428515625,15.16,0.7,0.0,0.0
178,9,train_0343,12830.3037109375,11313.353515625,-192.6646484375,192.6646484375,12637.6390625,17.1,0.74,0.0,0.0
179,9,train_0534,12541.453125,10695.2978515625,-254.47021484375,254.47021484375,12286.98291015625,15.38,0.68,0.0,0.0
180,9,train_0182,12405.7880859375,10882.5234375,-235.74765625,235.74765625,12170.0404296875,15.48,0.74,0.0,0.0
181,9,train_0551,11956.935546875,10411.46484375,-282.853515625,282.853515625,11674.08203125,15.22,0.64,0.0,0.0
182,9,train_0103,11740.27734375,10550.302734375,-268.9697265625,268.9697265625,11471.3076171875,16.26,0.64,0.0,0.0
183,9,train_0112,12207.158203125,10597.76953125,-264.223046875,264.223046875,11942.93515625,17.16,0.6,0.0,0.0
184,9,train_0153,12052.65234375,10839.203125,-240.0796875,240.0796875,11812.57265625,17.74,0.68,0.0,0.0
185,9,train_0565,12518.1103515625,10949.14453125,-229.085546875,229.085546875,12289.0248046875,16.12,0.68,0.0,0.0
186,9,train_0146,12244.01953125,10845.224609375,-239.4775390625,239.4775390625,12004.5419921875,14.06,0.68,0.0,0.0
187,9,train_0472,12466.615234375,10865.88671875,-237.411328125,237.411328125,12229.20390625,17.1,0.62,0.0,0.0
188,9,train_0349,11921.4658203125,10423.3359375,-281.66640625,281.66640625,11639.7994140625,16.3,0.72,0.0,0.0
189,9,train_0383,11918.30078125,10458.6318359375,-278.13681640625003,278.13681640625003,11640.16396484375,14.9,0.58,0.0,0.0
190,9,train_0046,11784.466796875,10613.478515625,-262.6521484375,262.6521484375,11521.8146484375,15.6,0.62,0.0,0.0
191,9,train_0395,12163.154296875,10354.9423828125,-288.50576171875,288.50576171875,11874.64853515625,15.48,0.64,0.0,0.0
192,10,train_0041,12290.7724609375,10405.732421875,-283.4267578125,283.4267578125,12007.345703125,14.68,0.64,0.0,0.0
193,10,train_0327,12544.14453125,10561.921875,-267.8078125,267.8078125,12276.33671875,17.6,0.7,0.0,0.0
194,10,train_0472,12426.54296875,10487.427734375,-275.2572265625,275.2572265625,12151.2857421875,15.98,0.58,0.0,0.0
195,10,train_0550,12091.77734375,10448.400390625,-279.1599609375,279.1599609375,11812.6173828125,18.28,0.66,0.0,0.0
196,10,train_0593,12022.0107421875,10345.677734375,-289.43222656250003,289.43222656250003,11732.578515625,13.24,0.72,0.0,0.0
197,10,train_0139,11914.63671875,10599.240234375,-264.0759765625,264.0759765625,11650.5607421875,13.36,0.48,0.0,0.0
198,10,train_0460,11983.80078125,10844.787109375,-239.52128906250002,239.52128906250002,11744.2794921875,14.78,0.64,0.0,0.0
199,10,train_0359,12308.541015625,10841.623046875,-239.83769531250002,239.83769531250002,12068.7033203125,15.08,0.68,0.0,0.0
200,10,train_0440,12552.416015625,11201.3759765625,-203.86240234375,203.86240234375,12348.55361328125,16.62,0.72,0.0,0.0
201,10,train_0488,12380.212890625,10517.744140625,-272.2255859375,272.2255859375,12107.9873046875,13.76,0.72,0.0,0.0
202,10,train_0284,12144.4677734375,10630.119140625,-260.9880859375,260.9880859375,11883.4796875,15.64,0.64,0.0,0.0
203,10,train_0080,12387.666015625,10668.4580078125,-257.15419921875,257.15419921875,12130.51181640625,14.58,0.74,0.0,0.0
204,10,train_0473,11938.796875,10739.205078125,-250.07949218750002,250.07949218750002,11688.7173828125,17.46,0.64,0.0,0.0
205,10,train_0369,11993.90625,10653.16796875,-258.68320312500003,258.68320312500003,11735.223046875,15.3,0.84,0.0,0.0
206,10,train_0080,12487.23828125,10898.0234375,-234.19765625000002,234.19765625000002,12253.040625,15.84,0.78,0.0,0.0
207,10,train_0241,11965.01171875,10450.0771484375,-278.99228515625003,278.99228515625003,11686.01943359375,15.64,0.66,0.0,0.0
208,10,train_0087,12443.365234375,10695.337890625,-254.46621093750002,254.46621093750002,12188.8990234375,16.42,0.76,0.0,0.0
209,10,train_0459,12502.5078125,10384.98046875,-285.501953125,285.501953125,12217.005859375,16.0,0.64,0.0,0.0
210,10,train_0200,12223.091796875,10442.51171875,-279.748828125,279.748828125,11943.34296875,16.54,0.74,0.0,0.0
211,10,train_0040,12582.166015625,10595.404296875,-264.45957031250003,264.45957031250003,12317.7064453125,18.08,0.6,0.0,0.0
212,10,train_0170,11887.826171875,10624.755859375,-261.5244140625,261.5244140625,11626.3017578125,14.88,0.74,0.0,0.0
213,10,train_0364,12386.583984375,10440.013671875,-279.99863281250003,279.99863281250003,12106.5853515625,16.8,0.64,0.0,0.0
214,10,train_0354,11668.626953125,10318.94921875,-292.10507812500003,292.10507812500003,11376.521875,15.58,0.7,0.0,0.0
215,10,train_0514,12534.953125,10286.0546875,-295.39453125,295.39453125,12239.55859375,14.14,0.72,0.0,0.0
216,10,train_0216,11954.59765625,10437.2080078125,-280.27919921875,280.27919921875,11674.31845703125,17.64,0.78,0.0,0.0
217,10,train_0377,12092.427734375,10515.9892578125,-272.40107421875,272.40107421875,11820.02666015625,16.56,0.7,0.0,0.0
