seed,condition,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls
2020,price_noise_high,11259.983433496529,11171.588394396505,167.15883943965056,0.0,11427.14227293618,12.62,0.52,0.0,0.0,5.0,11.88716001342982,17.01666001463309,5.0
2020,cef_noise_high,11261.12647946246,11024.225157480296,152.42251574802958,0.0,11413.54899521049,10.2,0.58,0.0,0.0,5.0,18.032619985751808,29.071740002837032,5.0
2020,bandwidth_dropout_20pct,11271.82806674616,11143.073748838748,164.3073748838748,0.0,11436.135441630035,12.16,0.6,0.0,0.0,6.0,15.139199987364313,24.075674984487705,6.0
2020,bandwidth_dropout_50pct,11271.82806674616,11143.073748838748,164.3073748838748,0.0,11436.135441630035,12.16,0.6,0.0,0.0,6.0,14.256616666292151,21.90087499911897,6.0
2021,clean,11009.804076955697,11083.889726755497,158.38897267554967,0.0,11168.193049631247,10.32,0.78,0.0,0.0,5.0,12.402360001578927,17.982200032565743,5.0
2021,price_noise_low,11069.189028493238,11056.936230361098,155.69362303610978,0.0,11224.882651529348,10.82,0.76,0.0,0.0,5.0,12.397139996755868,15.767339989542961,5.0
2021,price_noise_high,11059.984728596528,11016.686991855939,151.66869918559388,0.0,11211.653427782121,12.9,0.76,0.0,0.0,6.0,18.125066669502605,29.038849999778904,6.0
2021,cef_noise_high,11074.080912338435,10967.458374260961,146.74583742609613,0.0,11220.826749764532,11.0,0.78,0.0,0.0,5.0,15.72810000507161,25.59455999871716,5.0
2021,bandwidth_dropout_20pct,11028.005293413016,11077.024920941665,157.70249209416653,0.0,11185.707785507182,10.32,0.78,0.0,0.0,5.0,16.292120004072785,31.238200038205832,5.0
2021,bandwidth_dropout_50pct,11028.005293413016,11077.024920941665,157.70249209416653,0.0,11185.707785507182,10.32,0.78,0.0,0.0,5.0,14.266400004271418,19.944360002409667,5.0
2022,clean,10915.053391152325,10459.437751951618,95.94377519516183,0.0,11010.997166347486,8.6,0.46,0.0,0.0,5.0,14.76278001209721,19.030979997478426,5.0
2022,price_noise_low,10893.68978659165,10353.033250412791,85.3033250412791,0.0,10978.99311163293,9.88,0.46,0.0,0.0,5.0,19.936760002747178,29.58600000711158,5.0
2022,price_noise_high,10765.492694393855,10355.982007834491,85.5982007834491,0.0,10851.090895177305,11.84,0.48,0.0,0.0,5.0,16.192680003587157,26.984839979559183,5.0
2022,cef_noise_high,10930.543665984398,10386.882608682195,88.68826086821956,0.0,11019.231926852617,8.54,0.46,0.0,0.0,5.0,12.404519994743168,20.68171998253092,5.0
2022,bandwidth_dropout_20pct,10915.053391152325,10459.437751951618,95.94377519516183,0.0,11010.997166347486,8.6,0.46,0.0,0.0,5.0,11.593300011008978,16.08016003156081,5.0
2022,bandwidth_dropout_50pct,10915.053391152325,10459.437751951618,95.94377519516183,0.0,11010.997166347486,8.6,0.46,0.0,0.0,5.0,19.43733999505639,29.443039977923036,5.0
2023,clean,11375.146926493577,11072.304327317695,157.23043273176955,0.0,11532.377359225346,10.2,0.58,0.0,0.0,5.0,14.234980009496212,24.445400002878156,5.0
2023,price_noise_low,11408.19695691307,11029.252897305096,152.92528973050958,0.0,11561.12224664358,10.8,0.58,0.0,0.0,5.0,16.59298000158742,31.187600002158433,5.0
2023,price_noise_high,11389.779661532173,10970.759259273367,147.07592592733673,0.0,11536.85558745951,10.62,0.58,0.0,0.0,5.0,18.33163999253884,28.793099988251925,5.0
2023,cef_noise_high,11353.577841292565,11052.052503455203,155.2052503455203,0.0,11508.783091638084,10.8,0.6,0.0,0.0,5.0,11.516880011186004,15.871200012043118,5.0
